,Month,Avg_Seasonality_Median_Price,Avg_Seasonality_Home_Sold,City
193,02,96.38,67.13,"New York, NY"
194,03,97.27,76.89,"New York, NY"
195,04,95.88,72.65,"New York, NY"
196,05,97.62,77.63,"New York, NY"
197,06,99.7,88.06,"New York, NY"
198,07,100.0,89.65,"New York, NY"
199,08,98.37,100.0,"New York, NY"
200,09,98.66,90.46,"New York, NY"
201,10,97.8,94.13,"New York, NY"
202,11,98.57,83.95,"New York, NY"
203,12,96.92,91.74,"New York, NY"
204,01,94.1,62.41,"Phoenix, AZ"
205,02,95.21,70.43,"Phoenix, AZ"
206,03,96.62,91.96,"Phoenix, AZ"
207,04,96.2,94.0,"Phoenix, AZ"
208,05,99.28,99.76,"Phoenix, AZ"
209,06,100.0,100.0,"Phoenix, AZ"
210,07,97.94,88.53,"Phoenix, AZ"
211,08,97.33,86.35,"Phoenix, AZ"
212,09,97.4,79.72,"Phoenix, AZ"
213,10,96.84,77.74,"Phoenix, AZ"
214,11,95.37,68.44,"Phoenix, AZ"
215,12,95.32,76.43,"Phoenix, AZ"
216,01,93.13,52.85,"Portland, OR"
217,02,91.62,54.15,"Portland, OR"
218,03,96.3,75.59,"Portland, OR"
219,04,98.31,82.42,"Portland, OR"
220,05,99.52,95.85,"Portland, OR"
221,06,100.0,100.0,"Portland, OR"
222,07,99.11,93.2,"Portland, OR"
223,08,99.66,92.34,"Portland, OR"
224,09,96.38,79.56,"Portland, OR"
225,10,95.01,80.38,"Portland, OR"
226,11,95.22,71.69,"Portland, OR"
227,12,93.67,73.6,"Portland, OR"
228,01,92.43,67.06,"Sacramento, CA"
229,02,94.89,68.59,"Sacramento, CA"
230,03,98.01,88.07,"Sacramento, CA"
231,04,97.94,91.87,"Sacramento, CA"
232,05,100.0,98.17,"Sacramento, CA"
233,06,98.8,100.0,"Sacramento, CA"
234,07,99.14,94.51,"Sacramento, CA"
235,08,98.4,98.4,"Sacramento, CA"
236,09,98.33,86.5,"Sacramento, CA"
237,10,96.01,89.88,"Sacramento, CA"
238,11,96.84,79.8,"Sacramento, CA"
239,12,95.18,85.24,"Sacramento, CA"
240,01,88.84,53.16,"Salt Lake City, UT"
241,02,94.79,55.73,"Salt Lake City, UT"
242,03,91.74,75.39,"Salt Lake City, UT"
243,04,96.13,80.4,"Salt Lake City, UT"
244,05,100.0,97.31,"Salt Lake City, UT"
245,06,99.6,100.0,"Salt Lake City, UT"
246,07,99.45,87.2,"Salt Lake City, UT"
247,08,98.5,91.0,"Salt Lake City, UT"
248,09,93.97,74.99,"Salt Lake City, UT"
249,10,93.53,80.4,"Salt Lake City, UT"
250,11,89.63,70.97,"Salt Lake City, UT"
251,12,91.22,68.92,"Salt Lake City, UT"
252,01,88.92,54.45,"San Jose, CA"
253,02,92.94,55.93,"San Jose, CA"
254,03,97.23,80.64,"San Jose, CA"
255,04,98.35,90.51,"San Jose, CA"
256,05,100.0,100.0,"San Jose, CA"
257,06,99.46,98.46,"San Jose, CA"
258,07,98.2,89.71,"San Jose, CA"
259,08,97.29,88.06,"San Jose, CA"
260,09,94.08,80.24,"San Jose, CA"
261,10,95.08,78.26,"San Jose, CA"
262,11,93.25,71.8,"San Jose, CA"
263,12,91.57,75.27,"San Jose, CA"
264,01,76.15,50.84,"St. Louis, MO"
265,02,79.75,54.33,"St. Louis, MO"
266,03,83.05,74.33,"St. Louis, MO"
267,04,87.85,81.46,"St. Louis, MO"
268,05,93.5,96.45,"St. Louis, MO"
269,06,100.0,100.0,"St. Louis, MO"
270,07,96.51,92.18,"St. Louis, MO"
271,08,92.52,87.96,"St. Louis, MO"
272,09,90.0,78.59,"St. Louis, MO"
273,10,85.19,76.86,"St. Louis, MO"
274,11,85.48,67.5,"St. Louis, MO"
275,12,85.26,72.16,"St. Louis, MO"
276,01,92.41,47.54,Colorado
277,02,93.67,52.71,Colorado
278,03,96.54,73.9,Colorado
279,04,98.05,80.62,Colorado
280,05,99.01,95.3,Colorado
281,06,100.0,100.0,Colorado
282,07,98.21,94.85,Colorado
283,08,96.88,91.92,Colorado
284,09,94.02,79.62,Colorado
285,10,94.03,78.1,Colorado
286,11,93.12,68.5,Colorado
287,12,92.89,68.68,Colorado
