,SALE_YEAR,NBHD_ID,Last_Year_Price,Median_Neighbor_Last_Year_Price,SALE_PRICE
530,2018,32,435000.0,495000.0,467750.0
531,2019,32,467750.0,497500.0,470000.0
533,2002,33,284000.0,257850.0,318000.0
534,2003,33,318000.0,248000.0,299350.0
535,2004,33,299350.0,275000.0,325000.0
536,2005,33,325000.0,278500.0,300000.0
537,2006,33,300000.0,287226.0,356500.0
538,2007,33,356500.0,282450.0,387500.0
539,2008,33,387500.0,285000.0,357600.0
540,2009,33,357600.0,291000.0,321500.0
541,2010,33,321500.0,289000.0,325000.0
542,2011,33,325000.0,288500.0,327500.0
543,2012,33,327500.0,259000.0,341000.0
544,2013,33,341000.0,292000.0,394900.0
545,2014,33,394900.0,319950.0,418500.0
546,2015,33,418500.0,344750.0,419000.0
547,2016,33,419000.0,369650.0,460625.0
548,2017,33,460625.0,403000.0,495000.0
549,2018,33,495000.0,435000.0,525000.0
550,2019,33,525000.0,467750.0,522500.0
552,2002,34,166000.0,168700.0,189950.0
553,2003,34,189950.0,179950.0,184500.0
554,2004,34,184500.0,185000.0,204000.0
555,2005,34,204000.0,192700.0,201000.0
556,2006,34,201000.0,187000.0,197000.0
557,2007,34,197000.0,185509.5,180000.0
558,2008,34,180000.0,160000.0,178159.5
559,2009,34,178159.5,173000.0,149590.0
560,2010,34,149590.0,154950.0,153200.0
561,2011,34,153200.0,153750.0,164750.0
562,2012,34,164750.0,135000.0,169500.0
563,2013,34,169500.0,145000.0,180000.0
564,2014,34,180000.0,170000.0,210000.0
565,2015,34,210000.0,181500.0,250000.0
566,2016,34,250000.0,225000.0,275000.0
567,2017,34,275000.0,260000.0,323500.0
568,2018,34,323500.0,313000.0,345000.0
569,2019,34,345000.0,325000.0,355000.0
571,2002,35,185500.0,196850.0,204750.0
572,2003,35,204750.0,208225.0,217000.0
573,2004,35,217000.0,205000.0,225000.0
574,2005,35,225000.0,224000.0,214900.0
575,2006,35,214900.0,220450.0,216250.0
576,2007,35,216250.0,216725.0,223150.0
577,2008,35,223150.0,199125.0,210000.0
578,2009,35,210000.0,205079.75,195000.0
579,2010,35,195000.0,183725.0,197500.0
580,2011,35,197500.0,189100.0,191500.0
581,2012,35,191500.0,189600.0,204420.0
582,2013,35,204420.0,200750.0,217000.0
583,2014,35,217000.0,216875.0,256900.0
584,2015,35,256900.0,239975.0,285000.0
585,2016,35,285000.0,277750.0,325056.0
586,2017,35,325056.0,310000.0,341250.0
587,2018,35,341250.0,347000.0,385840.0
588,2019,35,385840.0,375000.0,407000.0
